ground truth; prediction; ground truth position; georef success; avg time per sheet; times; scores; number of detected keypoints; template scores; registration time; command; percent segmented; mahalanobis; Lowe's test ratio; index rank
258; 258; 0; False; 0.24; [0.251983, 0.255, 0.241588, 0.246995, 0.239295, 0.230998, 0.24853, 0.240006, 0.235853, 0.254, 0.252075, 0.241, 0.235547, 0.250536, 0.234084, 0.229, 0.222, 0.253206, 0.244789, 0.253856]; [3, 36, 3, 6, 3, 3, 2, 4, 4, 3, 3, 6, 10, 3, 5, 6, 5, 7, 4, 4]; 162; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 4,93; 16.41; 0.28; 1
259; 259; 0; False; 0.26; [0.250003, 0.243274, 0.253005, 0.245096, 0.247001, 0.243437, 0.240221, 0.233997, 0.244819, 0.247002, 0.240887, 0.243997, 0.246799, 0.237, 0.239787, 0.242998, 0.239002, 0.289001, 0.332707, 0.525568]; [3, 3, 3, 4, 3, 3, 7, 21, 5, 4, 5, 3, 4, 4, 4, 3, 4, 3, 5, 3]; 131; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 4,11; 16.07; 0.33; 7
319; 319; 0; False; 0.03; [0.032007]; [89]; 195; [0.0]; -1.00; ; 8,44; -1.00; -1.00; 0
343; 343; 0; False; 0.25; [0.256933, 0.243836, 0.234679, 0.245862, 0.248, 0.246577, 0.233, 0.244831, 0.253998, 0.257393, 0.231009, 0.237357, 0.236854, 0.242081, 0.251996, 0.242664, 0.239999, 0.24345, 0.283997, 0.23552]; [2, 30, 4, 4, 2, 7, 4, 5, 4, 4, 6, 3, 4, 4, 4, 4, 5, 7, 3, 4]; 145; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 5,66; 19.00; 0.23; 1
524; 524; 0; False; 0.25; [0.249555]; [62]; 175; [0.0]; -1.00; ; 6,17; -1.00; -1.00; 0
539; 539; 0; False; 0.19; [0.191503]; [46]; 157; [0.0]; -1.00; ; 1,46; -1.00; -1.00; 0
553; 553; 0; False; 0.24; [0.142921, 0.235003, 0.240818, 0.240999, 0.237478, 0.229001, 0.247474, 0.240436, 0.240901, 0.236023, 0.23961, 0.304949, 0.255229, 0.234, 0.248629, 0.237997, 0.235263, 0.237001, 0.23542, 0.239569]; [51, 10, 7, 6, 5, 17, 6, 13, 6, 7, 11, 5, 5, 4, 12, 6, 6, 6, 7, 9]; 97; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 1,25; 12.80; 0.33; 0
554; 554; 0; False; 0.25; [0.251626]; [40]; 180; [0.0]; -1.00; ; 2,40; -1.00; -1.00; 0
568; 568; 0; False; 0.24; [0.235005]; [43]; 193; [0.0]; -1.00; ; 2,16; -1.00; -1.00; 0
570; 570; 0; False; 0.25; [0.118859, 0.346604, 0.347, 0.25963, 0.170999, 0.253209, 0.240002, 0.243562, 0.240999, 0.246593, 0.270996, 0.234986, 0.245, 0.251, 0.273001, 0.233332, 0.245999, 0.279129, 0.239999, 0.247903]; [45, 10, 4, 13, 9, 5, 8, 7, 8, 5, 4, 4, 3, 6, 3, 7, 5, 6, 3, 5]; 121; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 3,04; 14.67; 0.29; 0
571; 571; 0; False; 0.24; [0.244509, 0.24, 0.236713, 0.236002, 0.241131, 0.263006, 0.250514, 0.233996, 0.247999, 0.243998, 0.237307, 0.231992, 0.236096, 0.226998, 0.241781, 0.234998, 0.24932, 0.234001, 0.25705, 0.230999]; [4, 22, 5, 3, 2, 4, 10, 4, 3, 3, 3, 4, 4, 5, 6, 3, 6, 8, 4, 7]; 114; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 2,74; 8.66; 0.45; 1
584; 584; 0; False; 0.24; [0.253002, 0.244665, 0.243001, 0.243418, 0.243998, 0.241831, 0.247005, 0.243893, 0.235003, 0.233212, 0.240999, 0.245149, 0.236, 0.234494, 0.229011, 0.247745, 0.277001, 0.243536, 0.236018, 0.241759]; [3, 14, 26, 8, 9, 7, 4, 7, 4, 5, 3, 4, 5, 5, 6, 4, 6, 5, 9, 4]; 129; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 2,43; 7.49; 0.54; 2
585; 585; 0; False; 0.05; [0.047]; [74]; 167; [0.0]; -1.00; ; 1,61; -1.00; -1.00; 0
586; 586; 0; False; 0.26; [0.287511, 0.238848, 0.238001, 0.253069, 0.240999, 0.250178, 0.243999, 0.240999, 0.263999, 0.28214, 0.246565, 0.23586, 0.245, 0.240514, 0.239001, 0.254359, 0.289, 0.29787, 0.313595, 0.255998]; [12, 36, 4, 4, 11, 6, 5, 4, 6, 5, 4, 4, 3, 6, 4, 4, 3, 6, 4, 4]; 129; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 3,10; 12.74; 0.33; 1
587; 40; -1; False; 0.25; [0.251223]; [7]; 93; [0.0]; -1.00; ; 1,73; -1.00; -1.00; 3
588; 38-34; 1; False; 0.25; [0.241998, 0.237281, 0.240996, 0.245329, 0.238995, 0.247124, 0.250002, 0.250614, 0.229004, 0.241293, 0.23652, 0.253795, 0.237999, 0.239774, 0.256198, 0.249122, 0.248303, 0.273527, 0.254516, 0.252085]; [15, 4, 10, 8, 9, 16, 4, 4, 5, 8, 10, 8, 8, 5, 14, 17, 13, 3, 4, 7]; 147; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 2,68; 2.20; 0.94; 5
589; 589; 0; False; 0.07; [0.069999]; [46]; 120; [0.0]; -1.00; ; 2,43; -1.00; -1.00; 0
590; 590; 0; False; 0.26; [0.256959]; [43]; 155; [0.0]; -1.00; ; 3,98; -1.00; -1.00; 0
600; 600; 0; False; 0.20; [0.202391]; [42]; 177; [0.0]; -1.00; ; 1,63; -1.00; -1.00; 0
601; 601; 0; False; 0.33; [0.334741]; [53]; 140; [0.0]; -1.00; ; 1,11; -1.00; -1.00; 0
602; 602; 0; False; 0.25; [0.155003, 0.237535, 0.247016, 0.241994, 0.248409, 0.23513, 0.255285, 0.249849, 0.23737, 0.250515, 0.25528, 0.231876, 0.237996, 0.263546, 0.29243, 0.28851, 0.264912, 0.249143, 0.254146, 0.240299]; [47, 3, 6, 3, 9, 4, 6, 7, 6, 5, 6, 7, 8, 7, 4, 6, 7, 4, 6, 15]; 146; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 3,68; 15.30; 0.32; 0
603; 603; 0; False; 0.24; [0.266074, 0.252465, 0.243246, 0.23391, 0.234993, 0.241698, 0.228209, 0.240097, 0.231154, 0.232459, 0.235687, 0.23, 0.269264, 0.246313, 0.187243, 0.246318, 0.250232, 0.274001, 0.249781, 0.241284]; [8, 24, 8, 6, 9, 9, 7, 4, 9, 6, 7, 5, 9, 16, 14, 10, 10, 6, 6, 6]; 126; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 1,65; 5.34; 0.67; 1
615; 615; 0; False; 0.24; [0.238631]; [18]; 85; [0.0]; -1.00; ; 2,53; -1.00; -1.00; 0
616; 616; 0; False; 0.24; [0.264199, 0.240287, 0.240985, 0.247998, 0.236684, 0.245468, 0.240061, 0.245707, 0.241904, 0.23848, 0.241048, 0.238955, 0.238994, 0.235872, 0.250659, 0.250998, 0.243154, 0.237207, 0.239863, 0.235147]; [5, 5, 4, 12, 10, 8, 10, 5, 12, 6, 5, 7, 6, 4, 6, 7, 4, 4, 4, 4]; 146; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 3,75; 2.48; 1.00; 3
629; 629; 0; False; 0.24; [0.244783, 0.234076, 0.228003, 0.228286, 0.237132, 0.240999, 0.223203, 0.228692, 0.236434, 0.235287, 0.232789, 0.236353, 0.220037, 0.229948, 0.276639, 0.239948, 0.247201, 0.251931, 0.245061, 0.254018]; [4, 16, 5, 4, 5, 6, 7, 6, 4, 3, 4, 4, 6, 5, 4, 4, 8, 4, 3, 5]; 99; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 2,16; 8.52; 0.50; 1
630; 630; 0; False; 0.24; [0.244983]; [20]; 179; [0.0]; -1.00; ; 2,40; -1.00; -1.00; 0
655; 655; 0; False; 0.25; [0.25389, 0.237468, 0.250416, 0.241998, 0.242831, 0.245, 0.249396, 0.247001, 0.244052, 0.246005, 0.256988, 0.233999, 0.239911, 0.242, 0.25447, 0.244997, 0.24714, 0.240999, 0.269866, 0.262996]; [29, 5, 5, 5, 6, 6, 4, 3, 4, 4, 5, 3, 7, 3, 5, 4, 3, 3, 4, 5]; 150; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 2,37; 21.01; 0.24; 0
66; 66; 0; False; 0.07; [0.074654]; [110]; 206; [0.0]; -1.00; ; 1,98; -1.00; -1.00; 0
668; 668; 0; False; 0.04; [0.035999]; [78]; 164; [0.0]; -1.00; ; 1,10; -1.00; -1.00; 0
669; 669; 0; False; 0.24; [0.243252, 0.240998, 0.230859, 0.231001, 0.244139, 0.235996, 0.241501, 0.224998, 0.240084, 0.247755, 0.22536, 0.234503, 0.234639, 0.245094, 0.228, 0.242779, 0.228, 0.234818, 0.241005, 0.229136]; [19, 8, 4, 4, 6, 5, 9, 6, 3, 5, 4, 5, 5, 4, 3, 8, 4, 7, 4, 8]; 66; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 0,95; 7.44; 0.47; 0
